#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xorg-xprop,"is a tool for detecting window properties."
,exfat-utils,"allows management of FAT drives."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,herbstluftwm,"Window Manager"
,blueman,"Bluetooth manager"
,alacritty,"A fast terminal"
,vifm,"is an extensive terminal file manager that everyone likes."
,neovim,"a vim fork with builtin lsp, lua support and some useful features"
,tmux,"terminal  multiplexer"
,fzf,"is a fuzzy finder tool."
,ripgrep,"faster grep and search tool."
,fd,"faster find alternative."
,rofi,"App launcher"
,clang,"C family compiler, formatter, debug and other tools from LLVM"
,sxhkd,"Simple X hotkey daemon"
,bat,"cat clone with syntax highlighting"
,highlight,"can highlight code output."
,tree,"directory lister"
,zoxide,"smarter, with interactive, cd command"
,tdrop,"is used for a dropdown apps like scratchpads."
,jgmenu,"right click menu like desktop environments"
,picom,"is for transparency and removing screen-tearing."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,feh,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
A,polybar,"Status bar for wndow managers"
A,nsxiv,"is a minimalist image viewer."
,lxappearance,"GTK theme configuration setting program"
,arc-gtk-theme,"A nice dark theme 1"
,deepin-gtk-theme,"A nice dark theme 2"
,papirus-icon-theme,"cleaner icons for your system"
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,asciinema,"record terminal sessions and save/upload"
,simplescreenrecorder,"Record screen"
,peek,"screen record and make gifs"
,gifski,"high quality gifs for peek"
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pipewire,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,pavucontrol,"is a command-line audio interface."
,flameshot,"can take quick screenshots at your request."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xclip,"allows for copying and pasting from the command line."
,clipmenu,"clipboard utility and convenience helper"
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,xorg-xbacklight,"enables changing screen brightness levels."
